,Route,MeanRating,MeanSentimentScore,DominantSentiment,RouteCount
5,London -> Johannesburg,5.777777777777778,0.4757944444444444,Positive,18
6,London -> Malaga,4.055555555555555,0.13383888888888887,Positive,18
2,London -> Cape Town,3.764705882352941,0.43619411764705884,Positive,17
1,Johannesburg -> London,4.0,0.16376666666666667,Negative,15
8,Madrid -> London,4.733333333333333,0.17538666666666666,Negative,15
0,Cape Town -> London,4.3076923076923075,0.31911538461538463,Positive,13
3,London -> Dubai,3.6923076923076925,0.18194615384615384,Positive,13
7,Los Angeles -> London,3.230769230769231,-0.19092307692307695,Negative,13
4,London -> Hong Kong,4.583333333333333,0.13570000000000002,Negative,12
9,Vancouver -> London,7.333333333333333,0.8164916666666667,Positive,12
