,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
0,L Neiman,United States,2023-11-15,1,"Air France lost our three bags, someone was in my seat on the plane. The woman who tried to help us fill out forms about our missing bags could barely use the touch screen, so we had to do it for her completely. We had to wait more than three hours after we got off the plane to get our bags at our destination after they were left in Paris (our layover). The aircraft’s wheels were exceptionally squeaky, and they screeched loudly constantly while we were on the ramp. Also, the food was terrible. It was a sloppy cream cheese and cucumber “sandwich”. It was barely edible. They forced us to check our bags in the first case despite there being plenty of open seats and thus, room to carry our bags onto the plane like normal. They needlessly created the conditions to lose our bags and followed through and succeeded in it.",,Family Leisure,Economy Class,Amsterdam to Rome,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Amsterdam,Rome,,Negative,-0.0516
1,Derek Northcutt,United States,2023-11-15,2,"Very disappointing and that has become the normal experience with Air France. Poor catering on board, and on a nine-hour flight no one came to offer more drinks. I went to the back to fetch my own but found that the cabin crew had sealed off our compartment (limiting 16 rows to one toilet) with locked curtains, so they can be alone. Upon arrival, there was no wheelchair for me (and this happens all the time at CDG airport). I have an artificial leg and it is difficult for me to walk long distances, yet they have me walk up the boarding bridge to the lobby, then walk outside to catch their van, where it drops you off at another terminals and you have to walk up steps and then an elevator and then a longish walk to where they have their wheelchair staff. If you wish to fly with this group, choose KLM who are efficient, they have wheelchairs available when you arrive, take you to where you want to go. We flew to Bucharest, and there has never been a wheelchair waiting for me so I guess they do not do that there. My last three trips with AF/KLM have resulted in delayed suitcases of up to a week. They arrived as expected this time, and that is the only thing Air France did correctly.",Boeing 777,Couple Leisure,Economy Class,Chicago to Bucharest via paris,November 2023,2.0,1.0,1.0,,2.0,,2,no,True,Chicago,Bucharest,paris,Negative,-0.7845
2,S Nayll,France,2023-11-13,1,"My seat was broken and would not fully recline and the  tablet was also broken. My food was the same as economy. WiFi did not work, neither did my USB socket and power plug. ",Boeing 777,Business,Premium Economy,Paris to Abidjan,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Paris,Abidjan,,Neutral,0.0
3,Adrian Nicholson,Canada,2023-11-10,1,"We booked our flight through air France from Toronto to Tangier. Routing us through Montreal, Paris then Arriving to Tangier. The first leg of the flight to Montreal was operated by WestJet. The plane was late and arrived for our connecting flight late. This cause us to miss our flight after that it was a complete chaos and unprofessional. We went to air France to book us on the next flight, air France says we should go west jet. We went to WestJet, they said to go to air France. No one wanted to take responsibility and kept sending us back and forth. Saying its the other airline fault. We were at the airport for 4 hours going back and forth. They said we should call air France to get our refund. When we called air France they said we should call WestJet to get our refund. Up to now we still have not gotten our refund. ",,Couple Leisure,Economy Class,Montreal to Tangier via Paris,July 2023,,,,,1.0,,1,no,True,Montreal,Tangier,Paris,Negative,-0.875
4,C Huang,United States,2023-11-09,1,I’ve been on “bad” airlines and even though the amenities may be lacking the customer service was at least decent. This cannot be said for Air France. After struggling to find room to store my luggage I had to squeeze my way up and ask the flight attendant for assistance. She told me “you need to figure that out yourself” along with “I don’t know how to help you”. I kept telling her that I wasn’t able to find bin space and that I needed help moving stuff out of the way (I’m 4’11 I can barely reach the bins) along with lifting my suitcase into a bin but she kept saying “you need to figure it out on your own”. Luckily a passenger was able to help me out.,,Solo Leisure,Economy Class,Paris to Vienna,November 2023,2.0,1.0,,,1.0,1.0,1,no,True,Paris,Vienna,,Neutral,0.4779
5,Catalin Alexandru Glavan,Switzerland,2023-11-08,3,"I recently booked a round-trip flight from Zurich to Antananarivo with Air France, and the experience was nothing short of a nightmare. From start to finish, it was a series of mishaps and poor service that left me deeply stressed and unsatisfied. The outbound flight from Zurich was delayed by more than 30 minutes. This delay put us in a precarious situation, and we were forced to rush to catch our connecting flight at Paris CDG. The stress of almost missing our connection was certainly not the ideal way to begin a vacation. On the return journey, the problems persisted. The flight from Antananarivo to Paris CDG experienced another significant delay, causing us to miss our initial connection to Amsterdam. While we were rebooked on a later flight, the flight from Paris CDG to Amsterdam was delayed by 30 minutes. In an attempt to ensure we caught our connection in Amsterdam, we requested assistance from a flight attendant, only to be met with a disrespectful attitude and a dismissive response. Upon arriving in Zurich, the troubles continued as our luggage was nowhere to be found. Three of our bags were stuck in Amsterdam, and one in Paris CDG. We were left waiting for over 2 hours and 30 minutes for our luggage from Amsterdam to arrive in Zurich. This was particularly distressing because two of us had another flight scheduled for the following day and were uncertain whether our luggage would make it in time. As a result, we also missed our train connection from Zurich Airport to Thun. To top it all off, the in-flight meals provided by Air France were subpar at best. On the way to Antananarivo, the tomato salad had a rotten taste, and for a 10-hour flight, the meal options were shockingly limited. On the return journey, the meals were disappointing, with the second meal consisting of bread with some sauce, a cold mini croissant, a jam, and a yogurt. In summary, my experience with Air France on this trip was marred by delays, unhelpful staff, lost luggage, and inadequate in-flight meals.  I expected better service and reliability for the price I paid, and this experience fell far short of those expectations.",,Couple Leisure,Economy Class,Antanarivo to Zurich via Paris,November 2023,4.0,2.0,2.0,4.0,2.0,4.0,2,no,True,Antanarivo,Zurich,Paris,Negative,-0.9839
6,Susan Watson,United States,2023-11-04,4,I found the experience very poor compared to other airlines I have used in Europe this past year. The food quality was poor. They served drinks in tiny paper cups. The snacks were fruity flavored kids drinks that were like getting a yogurt with extra sugar. You rarely saw an attendant. The inflight entertainment was very poor.,,Couple Leisure,Economy Class,Paris to Seattle,November 2023,3.0,2.0,1.0,1.0,1.0,2.0,2,no,False,Paris,Seattle,,Negative,-0.6124
7,Aarjun Malhotra,United States,2023-11-03,9,"I flew with Air France last December and experienced a very friendly welcome aboard by the crew and very comfortable seat, ok legroom. Excellent ground staff at Delhi and Paris airport, no wifi onboard but excellent food, great movies on entertainment screen. Very great value for money.",,Family Leisure,Economy Class,Delhi to Los Angeles via Paris,December 2022,4.0,5.0,5.0,5.0,5.0,1.0,5,yes,False,Delhi,Los Angeles,Paris,Positive,0.9856
8,Anis Khairallah,Lebanon,2023-11-02,1,"Bad service, they lost my bag and everyday I'm calling more than 10 times and same answer ""your bag still in berlin, we will send it as soon as possible when we have a flight"" and still I'm waiting more than 10 days. As if there is no flight from Berlin to Paris everyday, bad customer services. It was the first time I took Air France and for sure the last time.",,Business,Economy Class,Paris to Berlin,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Paris,Berlin,,Negative,-0.8126
9,Jennifer Morrison,United States,2023-11-01,3,"I fly Air France frequently to and from French Polynesia and can honestly say I have always had a great experience. My most recent was however not a pleasant one. Neither leg of my roundtrip flight was enjoyable and felt like more of a budget airline. We are frequent travelers and book specific seats. we know which seats are not good. a month before they changed planes, and we were forced into seats that we would not have choose as they do not recline as much as the rest of that class. Well, we were stuck and had no other seats to move too. On top of that my seat was broken and the footrest could not be used. So not only did I have a seat that did not recline like the rest now I had a broken footrest. The only option was to move to a middle seat away from my family and sit by strangers. I might have just sat in economy because the premium was really not premium. The staff is amazing as always and so very nice, but wow the food was absolutely horrific on both flights. I remember Air France pre covid having better quality food, but that has really changed. Nothing was edible but the bread and butter.",,Couple Leisure,Premium Economy,Los Angeles to Tahiti,October 2023,2.0,4.0,1.0,2.0,4.0,3.0,2,no,False,Los Angeles,Tahiti,,Positive,0.9673
