,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
0,C Marten,United Arab Emirates,2023-11-15,1,"Horrible service, I wouldn’t repeat to take this airline even if it is free. 2 days before our flight they moved it 14 hours later. Our hotel and tours were already set up and we have to cancel the tour and get charged by the hotel for a day. In order to check in early, you need to purchase seats so we did because as per their website it says that they will not accept mobile boarding form. Boarding is not organized, no zones, no priorities so anyone can just go which makes it also difficult to board. Some of the staff are rude and they treat people like they are on the streets and not in the customer service industry. I understood that this is a budget airline but treating people like this is not acceptable. One of the flight attendants on our flight during boarding we reached our seat and were putting up our luggage so some of the passengers were waiting behind us instead of helping us at least to put up the luggage he was shouting and swerving us with his hand to the side telling us “let them pass!, let them pass!”, no manners at all, like really!?. It is not my first time to fly with budget airlines but this by far the most horrible I have experienced! So before taking this airline think first about it. It is cheap yes, but there are extra fees and weird requirements like printing the boarding card to be shown at the airport instead of flight ticket and mind you if you choose airport check-in there is payment also.",,Solo Leisure,Economy Class,Abu Dhabi to Bishkek,November 2023,1.0,1.0,2.0,,1.0,,2,no,True,Abu Dhabi,Bishkek,,Positive,0.9337
1,Linoy Chen,Israel,2023-11-10,1,"Wizz Air stopped flying to and from Israel when a war started on October 7. They sent us a refund of $100 when the full cost was $500 for the 2 tickets. When we contacted them, they claimed that we cancelled the flight. I explained that we didn't and still want to go when flights are available. At that point they said the decision is final and stopped responding to email. Their phone support is useless and just refer you the online form.",,Couple Leisure,Economy Class,Tel Aviv to Abu Dhabi,November 2023,,,,,2.0,,1,no,False,Tel Aviv,Abu Dhabi,,Negative,-0.8442
2,R Bergesiene,Lithuania,2023-11-09,1,"Very bad experience with Paris Beauvais Airport and Wizz Air service! Workers of the airport and wizz air are very rude, impolite, behave very badly with the passengers. The airport must refuse to have these kinds of workers. Would never recommend flying from or to Paris Beauvais Airport with Wizz Air. ",,Couple Leisure,Economy Class,Paris to Vilnius,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Paris,Vilnius,,Negative,-0.9024
3,Najib El Choueiry,Poland,2023-11-09,1,"The rudest and most unprofessional staff ever! They made me pay 230zł (About 55 US$) for 7cm bag size difference! I am allowed as per my ticket with a carry on bag, mine was literally 7 cm higher than their metal measure (Despite those 7 cm being empty air and malliable/pliable) since I have a soft bag-pack. I understand you make a person pay for 1kg extra or something, but 55$? Which is what any airlines charges for a 23kg bag 4 times the size of this bag! What's worst is they never checked anyone else for the bag size, despite passengers holding bigger bags that mine. Their answer was ""They have air priority"", despite them knowing these passengers were coming in from the same line I came in, not the Priority lane. I asked to check anyone's bag to see if it fits in that impossible small size measuring pocket they have, they refused. Because they knew over 60% of those bags won't pass that test! Then when it came to payment, they don’t accept Euro, Not USD, & didn't accept 228zł & doesn't accept 300zł because they have no change, which is literally 2zł less than the Crazy number they wanted to charge, an amount I could've used to travel with any other decent airline (which I will from now on!).",,Business,Economy Class,Krakow to Larnaca,November 2023,3.0,2.0,1.0,1.0,1.0,,1,no,True,Krakow,Larnaca,,Negative,-0.5657
4,P Marta,United Kingdom,2023-11-09,1,"Terrible service. I was forced to buy a ticket which included priority boarding and extra luggage, neither of which I needed, even though it was not included in my outbound ticket (both were bought together).  No flight updates when departure is delayed. I complained and the response was a random sentences copied and pasted which had nothing to do with my complaint. In the second reply they said I had no right to complain and the argument used to support it was they they broke they own rules (i.e. admitted I was right)",,Solo Leisure,Economy Class,Gdansk to Leeds,September 2023,1.0,1.0,1.0,,1.0,,1,no,True,Gdansk,Leeds,,Negative,-0.7361
5,Mona Mahingostar,Austria,2023-11-08,1,"I booked a ticket for my mum (citizen of Cyprus) from Vienna to Dubai with a two hour stop in Riyadh (Saudi-Arabia). As she arrived in Riyadh she had to pay an entry Visa to Saudi-Arabia and go through the immigration area, get her checked baggage and check herself again in for her next flight on another airline. The whole situation ended up with the chaos that she couldn't reach her next flight and we had to buy her a new ticket to Dubai. She needed special assistance and the service was stopped in Saudi Arabia so we had to make international phone calls to Saudi to ask for the service again. Obviously Wizzair is so cheap that they don’t cooperate with other airlines to let you reach your destination country smoothly but it will end up for you to have Stress and do everything double.",,Solo Leisure,Economy Class,Vienna to Riyadh,November 2023,3.0,4.0,2.0,1.0,2.0,1.0,3,no,True,Vienna,Riyadh,,Negative,-0.8126
6,Katja Horstmann,Germany,2023-11-06,1,"This airline is an absolute fraud! We had booked a flight with them last summer, only to have our flights cancelled last minute. We were already travelling in another country and were in Venice in summer - not a cheap place to be stranded. We called their Customer Support and were told that we'd be put on the next available flight IN 4 DAYS. We were told that ALL expenses would be paid (as they have to by law) - we clarified several times on this phone call if there was a limit and she said no, as long as not 5* accommodation. Fair enough, so we paid everything out of pocket for 4 days and send the receipts to Wizz Air afterwards. This company has been refusing to pay up and only reimbursed us about 20% of our costs - they deem 336 EUR for 2 people for 4,5 extra days in Venice reasonable. That is 42 EUR per person, per day. In Venice. In summer. For accommodation, food and transportation. We have reached out multiple times requesting to be paid the remaining expenses we incurred due to their flight cancellation AND HAVE RECEIVED NO RESPONSE WHATSOEVER. They say to go through the ODR, which we did - they had 3 months to respond and never did. Please listen to the original call that was made with your customer support and pay up as you had said you would. So yeah, if you would like to fly with an airline that will leave you stranded on vacation for four days, not reimburse you and then ignore you, definitely go with Wizz Air. ",,Couple Leisure,Economy Class,Venice to Sarajevo,December 2022,1.0,1.0,,,1.0,,1,no,True,Venice,Sarajevo,,Negative,-0.3451
7,Philip Kennington,Australia,2023-11-01,1,"I flew Wizz Air from Suceava to Luton three months ago. My baggage, along with around 20 other passengers was not loaded onto the plane. We arrived in Luton and mobbed the arrivals carousel and eventually a wizzair person arrived and said that the pilot was supposed to tell us that our baggage wasn't here. Obviously, he hadn't done that. The poor ground handler did not explain the importance of a PIR (Property Irregularity Form) and that it had to be filled out at the airport terminal. The website does not explain that properly. Of course, that form is not available online and has to be filled out at the airport of arrival. i had to stay two extra days in London (with all of the costs incurred) and I live in Australia and of course Wizz Air does not fly to here. Two days later, I went in a taxi back to Luton Airport to collect my delayed baggage. The ground handlers did not explain the need for a PIR and I flew back to Australia. In order to try and recoup the expenses incurred, I tried the call centres. They call are no help as they say you have to physically go to the airport you arrived at. God help you if you are trying to navigate a fatal accident, or serious injury. I am around USD5k in the hole thanks to them. Just don't fly with Wizz Air.",,Business,Economy Class,Suceava to Luton,July 2023,3.0,3.0,2.0,,1.0,,3,no,False,Suceava,Luton,,Negative,-0.4939
8,Laiza Depalog,United Arab Emirates,2023-10-29,1,"Wizz Air is the most unprofessional airline in the world. They have cancelled my flight without any notice and refuse to provide me with a refund. When I call them, they say they have already issued a refund but when I ask for proof of transfer, they tell me to send an email and wait for a reply within 1-2 months. I went ahead and sent an email to which the auto-reply from their end was for me to contact their customer service on the phone! Their only aim is to scam people, steal their money and then ghost them so that they do not have to provide the money back. I have no idea how this airline is still operating to be honest. ",,Couple Leisure,Economy Class,Abu Dhabi to Uzbekistan,June 2023,,,,,,,1,no,False,Abu Dhabi,Uzbekistan,,Negative,-0.8523
9,P Garten,United Kingdom,2023-10-25,6,"The flight and check in went well. I paid for the auto check in service and was given seat 15a at the window. If I had known that the seat would have a painful lack of cushioning and that my knees would be pressed into the seat in front I would have paid the £26 for an extra legroom seat. I didn't have that issue with the seat inbound so I suspect it is the window seat plus a broken seat that caused my difficult journey. The flight was full so there was no opportunity to swap seats so I didn't complain about the seat to the flight attendants. As the two people on the outer seats fell asleep almost immediately (and I didn't want to wake them up) I put up with it. I wonder what if anything the FA would do. The service was friendly and helpful from what I have seen. For example, one woman had a large rolling bag that was too wide for the overhead, he assisted her to reduce its shape by using the zipper. I can only recommend this airline to people who are under 5'8 otherwise it's a significant risk of a poor seat for the journey which in my case was 3.5 hours.",A321neo,Solo Leisure,Economy Class,Athens to London Gatwick,October 2023,1.0,5.0,,,5.0,,3,yes,True,Athens,London,,Negative,-0.7414
10,Brenda Rodriguez,United States,2023-10-23,1,"Stay away from this airline. They are scammers and thieves. They make it impossible for you to check in online so that later, they can charge you an arm and a leg when you have to check in at the airport. Also, my husband had to check in his luggage because we had purchased some beautiful Swiss knives, and what do you know. They were missing out of our luggage when we got to our hotel. We have tried everything we can to try to reach out to the airline and it is damn near impossible. When we try to the phone number online, it automatically disconnects us. When we try to chat with someone on their website, we’re just talking to a robot. We’ve been trying to figure out how to file a claim online and there is absolutely nothing we can do. This airline has cost me hundreds of dollars.",,Couple Leisure,Economy Class,Budapest to Athens,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Budapest,Athens,,Negative,-0.34
11,P Deane,United Kingdom,2023-10-21,9,"My first encounter with wizzair was with the iPhone app. It is solid, provides many services ancillary to the flight - such as history of flight landing - and allows you to book extra service after the booking. The booking process via the iPhone app was smooth. The charges are transparent, though I don't like how high the bag cost is, so I can compare it with the competition. I generally go with an underseat bag now, whether Ryanair or Wizzair; Aer Lingus alone gives you checked bag included in the low cost seat. Wizzair advised me to turn up 3 hours before departure due to security queue, and I am glad I did as it was a slow process of handling thousands with only 60% x-ray machine operating. We boarded 40 minutes before departure, but took off an hour later. The seats are the most limited in knee room of any of the LCC and this early boarding accentuated this - can you tell I am 6ft? The £10 charge for keeping the booking seats together leads to friends reuniting in the interval before takeoff. I was asked to swap by an attendant to a worse seat which I refused, later I was offered free extra legroom seat. The teens who had paid for these seats weren't allowed to occupy them. I bought a meal and the brioche ham cheese was good, large water and chocolate for £7 The flight was uneventful, on time and I give credit to the flight staff for their good humour.",A321neo,Solo Leisure,Economy Class,Luton to Athens,October 2023,4.0,4.0,4.0,,5.0,,5,yes,True,Luton,Athens,,Positive,0.959
12,G Darlun,Romania,2023-10-16,9,"Flight delayed by 35 minutes, arrived in time. Priority boarding respected. Cabin crew was polite and willing to help. No facilities for charging or tv screen, catering for sale, did not ask for anything. It was just a simple and efficient flight",Airbus 321 neo,Couple Leisure,Economy Class,Edinburgh to Bucharest,October 2023,5.0,4.0,,,4.0,,5,yes,True,Edinburgh,Bucharest,,Positive,0.743
13,Aurore Claude,France,2023-10-14,1,"A dishonest company which recuperates money any way it can. Doesn’t end up being low cost at all. I'm not one for reviews but this was too much. Terrible customer service. Not at all responsive and accommodating. They charged me an extra 48 euros on the day of the flight because I hadn't been able to check in online.   Their application wasn't working. I tried several times. Although they understood that the error was theirs (other travelers told me that the online check-in platform often has glitches and that this inconvenience has happened to others), they wouldn't listen and charged me for a simple on-site check-in. They then told me to file a claim for a refund. The response I got to my request for reimbursement of expenses (with an explanation of the facts and a handwritten invoice as proof) was: an automatic ""noreply"" e-mail sending me the invoice. I'll never travel with this company again. Worst experience I have ever had with an airline.",,Solo Leisure,Economy Class,Greece to Paris,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Greece,Paris,,Negative,-0.8294
14,J Albescu,Romania,2023-10-12,8,"Flight delayed for more than an hour, boarding a little bit chaotic (priority boarding was announced but everybody was allowed to board). Cabin crew polite but not friendly. Food on board for sale but not everything on the menu was available. Stewardess was inpatient in explaining details.",A321 Neo,Couple Leisure,Economy Class,Bucharest to Edinburgh,October 2023,4.0,4.0,3.0,,3.0,,5,yes,True,Bucharest,Edinburgh,,Negative,-0.0314
