,authors,countries,date,rating,reviews,aircraft,traveller type,seat type,route,date flown,seat comfort,cabin staff service,food & beverages,inflight entertainment,ground service,wifi,value for money,recommended,verified,start airport,end airport,transfer airport,sentiment analysis,sentiment analysis scores
0,Nikolai Sondergaard,Denmark,2023-11-10,1,"Worst experience ever. I have never written reviews for airlines before, but my experience has been so bad all the way through that now I am doing it. First of all the flight was 3 hours delayed, I had to wait in Istanbul airport (which is one of the worst I've been to in my life). That made me loose my connection in Bruxelles. So I had to buy new tickets from Bruxelles. Since my insurance company needs documentation for the delay I have been calling customer service to get this documentation. I have talked to them 7 times (!) and they have still not been able to give me this basic piece of documentation (which doesn't even cost the airline anything). I have never experienced such bad customer service in my life. The customer service reps also barely speak English.",,Solo Leisure,Economy Class,Istanbul to Bruxelles,August 2023,3.0,3.0,1.0,1.0,2.0,1.0,2,no,True,Istanbul,Bruxelles,,Negative,-0.9343
1,Kenan Arslan,United Arab Emirates,2023-11-10,1,"They have delayed 1 hour, then another 30 minutes and another 30 minutes later. they landed just 15 minutes before my next flight and they did not take any responsibility, no excuses, the representatives are very unprofessional and rude.",,Solo Leisure,Economy Class,Adana to Sabiha Gokcen,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Adana,Sabiha Gokcen,,Negative,-0.8074
2,S Senturk,United Kingdom,2023-11-10,1,The pram of my son arrived damaged after my flight (Ankara to Manchester UK) and is unrepairable as the mechanism is shattered and broken. Made a claim at the airport and also a claim through Pegasus as they requested this with all the footage taken. Came back with an excuse every time and they try everything not to pay me back. It has been nearly 3/4 weeks now and still trying to get away with it while I am not able to go out with my son. Worse customer service I have ever experienced! By law they are fully responsible for any damaged luggage caused by them obviously and they just try to get away with it.,,Family Leisure,Economy Class,Ankara to Manchester via Istanbul,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Ankara,Manchester,Istanbul,Negative,-0.8953
3,Luc Wens,Belgium,2023-10-28,1,"A delay in the return flight (2,5 hours) was absolutely poorly handled, no reason given, at the booth the rude personel were not willing to give any contact information. On contacting them by E-mail to request a certificate for the delay, I got a ridiculous standard E-mail back. ",Boeing 737-800,Business,Economy Class,Istanbul to Brussels Charleroi,October 2023,3.0,3.0,,,1.0,,1,no,True,Istanbul,Brussels Charleroi,,Negative,-0.8442
4,Manar Ali Hassan,Lebanon,2023-10-23,1,Our flight was delayed 3 times. We got stuck in the airport for hours with no notification. Avoid Pegasus Airlines at all cost. First and last time flying with them.,,Couple Leisure,Economy Class,Istanbul to Beirut,October 2023,1.0,1.0,,,1.0,,1,no,False,Istanbul,Beirut,,Negative,-0.6705
5,Pukalenthy Kathirgamu,Switzerland,2023-10-15,1,"Worst airline, was a horrible experience. It’s the first and definitely the last time!!! I had 2 flights with this airline and both were late. They don't even offer water. The staff only speak Turkish, no smile, not welcoming! I recommend to everyone, please you can pay a bit more to have a better airline.",,Family Leisure,Economy Class,Zürich to Istanbul,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,False,Zürich,Istanbul,,Positive,0.6249
6,E Genis,Netherlands,2023-10-14,9,Pegasus is amongst my favorite low-cost airlines anywhere. Never been disappointed yet. Outstanding cabin crew. Satisfactory food and drink selection. Punctual take-off and landing. Ground crew needs a little improvement. Overall: Great value. Easily recommended.,A320,Couple Leisure,Economy Class,Ankara to Antalya,September 2023,4.0,5.0,5.0,,4.0,,5,yes,True,Ankara,Antalya,,Positive,0.9467
7,M Gomes,Portugal,2023-09-30,1,"Terrible experience with this airline. Arrived 2.5h before to the check in counter, they took 1:45h to do the check in, they were super unprofessional. Had to run and go through a lot of trouble to be able to catch the flight. Terrible experience. Better to pay more and be safe.",,Business,Economy Class,Munich to Istanbul via Lisbon,September 2023,2.0,3.0,1.0,1.0,1.0,1.0,1,no,True,Munich,Istanbul,Lisbon,Negative,-0.5719
8,R Singh,India,2023-09-15,1,"We took a flight from London to Dubai and had to change a flight in Istanbul. The flight departed late by 50 minutes. The staff made no effort to welcome any passengers onboard. On the way I asked for a glass of water and was refused, was told pay £2 and buy a bottle. A totally unprofessional staff with no basic knowledge of how to treat their customers. Again the flight that we took from Istanbul was delayed by 25 minutes. On reaching Dubai we found one of our luggage was missing. It was not loaded from Istanbul, and were told it will come after 24 hours. DONT EVEN TRAVEL FOR FREE ON THIS AIRLINE.",A321,Couple Leisure,Economy Class,London to Dubai via Istanbul,September 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,London,Dubai,Istanbul,Negative,-0.6803
9,Christopher Empson,Turkey,2023-09-01,5,"I am not complaining about the flights although there seems to be more and more delays. I find the Pegasus customer service about as low as you can go, they don't seem to understand basic English and the response time is catastrophic. Their so called special offers for discounts are non existent.",,Couple Leisure,Economy Class,Adana to Stuttgart,August 2023,4.0,4.0,,,4.0,,3,no,False,Adana,Stuttgart,,Negative,-0.7506
10,Koray Akçagüner,Canada,2023-08-25,1,Horrible. This airline can’t operate a flight without delay. This is my third flight with them in the past two weeks and all of them were delayed. Insufficient and rude staff. Amateur service. This is the cheapest airline but avoid it if you can. Your plans will be delayed so you will have to pay extra anyway. Avoid Pegasus Airlines.,,Solo Leisure,Economy Class,Istanbul to Hannover,August 2023,1.0,1.0,,,1.0,,1,no,True,Istanbul,Hannover,,Negative,-0.9176
11,Zakaria Khiati,United Arab Emirates,2023-08-19,1,"Worst airline ever. All flights I took with them (4 flights total) were late by at least an hour. No food, no comfort, no service, no nothing. Its like taking a bus. Talking to staff was a nightmare, they barely spoke any language other than turkish.",,Couple Leisure,Economy Class,Abu Dhabi to Paris via Istanbul,August 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,True,Abu Dhabi,Paris,Istanbul,Negative,-0.5733
12,N Basouri,Germany,2023-08-10,1,"Departure from Germany to Turkey was about an hour delayed, the second plane from Turkey was 50 minutes delayed. We were asked on the flight from Istanbul to Beirut to pay 40€ extra for each bag we carry, no mattet what it is. The problem with that, is that we came with the same airflight company in the first flight from Germany to Turkey, and we were not demanded to pay, so who can explain the difference in rules since we are talking about the same company, two flights, same day.  I did not get any receipt, what made me question the legetimacy of what they did. One employee wanted to put a label bag tag on my plastic bag that had only biscuits, which was personal property just like a purse, which I also had to pay 40€ for, for a rule I doubt that exist and also when it exists that mistreatment can not be justifible. ",,Solo Leisure,Economy Class,Köln Bonn  to Beirut  via Istanbul,August 2023,1.0,1.0,1.0,,1.0,,1,no,True,Köln Bonn ,Beirut ,Istanbul,Negative,-0.8271
