index,Route,MeanRating,MeanSentimentScore,DominantSentiment,RouteCount,airline
0,London -> Dublin,4.583333333333333,0.3301083333333333,Positive,12,Ryanair
1,Santorini -> Athens,1.0909090909090908,-0.3515,Negative,11,Ryanair
2,Amsterdam -> Dublin,3.25,0.1290625,Neutral,8,Ryanair
3,Edinburgh -> Stansted,2.6666666666666665,0.18905,Negative,6,Ryanair
4,Stansted -> Athens,3.333333333333333,-0.0950166666666666,Negative,6,Ryanair
5,Stansted -> Rome,2.333333333333333,0.0579499999999999,Negative,6,Ryanair
6,Athens -> Thessaloniki,6.2,0.61288,Positive,5,Ryanair
7,DUB -> LGW,6.0,0.0980399999999999,Positive,5,Ryanair
8,Dublin -> London,1.4,-0.68758,Negative,5,Ryanair
9,Lisbon -> Ponta Delgada,5.4,0.6248199999999999,Positive,5,Ryanair
0,London -> Frankfurt,5.285714285714286,0.5197428571428572,Positive,14,Lufthansa
1,Singapore -> Frankfurt,4.5,0.201225,Positive,12,Lufthansa
2,London -> Munich,2.636363636363636,-0.1516363636363636,Negative,11,Lufthansa
3,Berlin -> Frankfurt,5.0,0.2999,Positive,9,Lufthansa
4,Frankfurt -> Chicago,3.888888888888889,-0.0573777777777777,Negative,9,Lufthansa
5,Frankfurt -> London,3.111111111111111,0.1846666666666666,Negative,9,Lufthansa
6,nan -> nan,2.2222222222222223,-0.5123666666666666,Negative,9,Lufthansa
7,Frankfurt -> Washington,2.125,0.0069375,Negative,8,Lufthansa
8,Los Angeles -> Munich,3.375,0.3717375,Positive,8,Lufthansa
9,Frankfurt -> Singapore,4.571428571428571,0.4102857142857142,Positive,7,Lufthansa
0,London -> Madrid,4.666666666666667,-0.0516444444444444,Negative,9,International Airlines Group
1,Madrid -> London,3.571428571428572,0.2069571428571428,Neutral,7,International Airlines Group
2,Lisbon -> Madrid,5.0,0.2818166666666666,Positive,6,International Airlines Group
3,Los Angeles -> Madrid,1.6666666666666667,-0.1335833333333333,Neutral,6,International Airlines Group
4,Buenos Aires -> Madrid,5.0,0.06412,Positive,5,International Airlines Group
5,Madrid -> Chicago,5.0,0.718575,Positive,4,International Airlines Group
6,Madrid -> Los Angeles,3.5,-0.256725,Negative,4,International Airlines Group
7,Madrid -> Miami,3.25,0.3088,Positive,4,International Airlines Group
8,Madrid -> New York,2.0,-0.28485,Negative,4,International Airlines Group
9,Miami -> Madrid,5.666666666666667,0.6149333333333334,Positive,3,International Airlines Group
10,London -> Johannesburg,5.777777777777778,0.4757944444444444,Positive,18,International Airlines Group
11,London -> Malaga,4.055555555555555,0.1338388888888888,Positive,18,International Airlines Group
12,London -> Cape Town,3.764705882352941,0.4361941176470588,Positive,17,International Airlines Group
